product,rating,rating_no,sales,current_price,original_price
Everest Premium Aromatic  Super Long Basmati Basnadhar Long Grain Rice 5 Kg,,,,Rs.960,Rs. 980
Lal Qilla Majestic 1121 Steamed Basmati Rice 1 kg,,,,Rs.365,Rs. 450
Santa jeera basmati rice 25kg,,,,"Rs.2,150","Rs. 2,400"
Shristi Supreme Steam Sonam Rice -26 Kg,,,,"Rs.3,099",
White Aaju Foods Jetho Budo Chamal 2 Kg,1/5,(1),,Rs.569,
Red Beaten Rice-800g,5/5,(1),,Rs.200,
5 Kg Boiled Basmati White Rice Loosely Packed | Wusina Chamal,2/5,(1),,"Rs.1,499",
"Fortune Everyday Basmati Rice, Full Grain, 5 kg",3/5,(1),,"Rs.1,250",
BS Local Organic Pokhareli Rice 1kg,5/5,(2),,Rs.180,
"India Gate Basmati Rice Pouch, Feast Rozzana, 1kg",4/5,(2),,Rs.350,
taichin rice / local chamal /Glutinous Rice,3/5,(2),35 Sold,Rs.350,
"Mithas Premium Reserve Rice, 5 Kg",5/5,(1),,"Rs.1,100",
Brown Rice 2kg,,,,Rs.280,
Baluwatar Organics Marsi Rice 1Kg,5/5,(1),,Rs.450,
Jumla Marsi/ Red Rice- 1 Kg,,,,Rs.350,
Local Taichin Rice 10kg,2/5,(1),,"Rs.1,690",
BS Local Organic Siraulo Rice 1Kg,5/5,(1),,Rs.275,
Kalanamak Rice,1/5,(1),,Rs.311,
BS Local Organic Jumli Marsi Rice 1Kg,4/5,(2),,Rs.300,
5 Kg Boiled Basmati White Rice Loosely Packed | Wusina Chamal,3.5/5,(4),,"Rs.1,499",
White Aaju Foods Kala Namak Chamal 5 Kg Set Of 2,5/5,(1),,"Rs.3,100",
Lal Qilla White Line Classic 1121 Raw Basmati Rice 1 kg,,,,Rs.365,Rs. 510
Local Jira Masino Rice 5Kg,,,,Rs.750,
"India Gate Basmati Rice Pouch, Feast Rozzana, 5kg",5/5,(1),,"Rs.1,050",
Brown Rice(Marshi Chamal)-1Kg,5/5,(1),,Rs.250,
Marsi Rice,,,,Rs.528,
White Beaten Rice(Seto Taichin Chiura)-800g,,,,Rs.160,
पोखरेली जेठो बुडो चमल ब्राउन राइस - 1 किलो,1/5,(1),,Rs.250,
"India Gate Basmati Rice Pouch, Classic, 1kg",5/5,(1),39 Sold,Rs.450,
Urja Steam Jeera Masino Rice-25kg,,,,"Rs.2,700",
Ghaila Jeera Masino Rice-25kg,5/5,(1),,"Rs.2,400",
Local Taichin Rice 5kg,4.3/5,(3),,Rs.850,
Good Luck Premium Regular Long Grain Rice  20 Kg,1/5,(1),,"Rs.2,700",
HBB Makkai Ko Chamal 500grm Pack of 2pc,,,,Rs.195,
Bhansaghar Premium Long Grain Rice 5 Kg,,,,Rs.975,
Newari Shahi Pulao Basmati Rice - 1kg,5/5,(6),33 Sold,Rs.220,
Goodluck Premium Long Grain Rice 3 Star 20 Kg,,,,"Rs.2,950",
Lal Qilla Dubar Basmati Rice -1kg,5/5,(1),,Rs.370,
Pokhreli Jetho Budo Chamal  - 1kg,2.8/5,(6),87 Sold,Rs.250,
Fortune Rozana Basmati Rice 20 kg,,,,"Rs.3,800","Rs. 4,000"
India Gate Basmati Rice Dubar 5kg,5/5,(1),,"Rs.1,250",
"Nepal Gramodhyog Long Grain Basmati Rice, 5 Kg",,,,"Rs.1,050",
B S Local Organc Proso Millet Rice 500g,5/5,(3),,Rs.250,
"Marsi Rise, 1 Kg",5/5,(1),,Rs.350,
Brown Rice 2kg,4/5,(4),,Rs.350,Rs. 450
Dhiki Jato Jetho Budo Chamal 1kg,4.1/5,(9),87 Sold,Rs.290,
Sonumonu Premium Steam Jeera Rice 25kg,,,,"Rs.2,400",
Arju Everest Premium Super Long Basmati Basnadhar Rice 5 Kg,,,,Rs.960,"Rs. 1,000"
"India Gate Basmati Rice, 5 Kg",5/5,(1),,"Rs.1,100",
Local Kalanamak Rice 1 Kg,,,,Rs.320,Rs. 340
Muskan Long Grain Basmati Rice 20kg,,,,"Rs.2,900",
Prakritee Long Grain Basmati Rice 5Kg,,,,"Rs.1,050",
Lal Qilla White Line Classic 1121 Raw Basmati Rice 5 kg,,,,"Rs.1,850","Rs. 1,949"
Bhaktapur's Special Local Taichin Chamal [ Glutenous Rice ] 1 Kg,2/5,(1),,Rs.160,
Thapa Gold Premium Steam Jeera Masino katarni Rice 25kg,,,,"Rs.2,400",
Ghaila Mansuli Rice-25kg,3.7/5,(3),,"Rs.2,050",
Bhansaghar Premium Long Grain Parboiled Rice 5 Kg,5/5,(2),,Rs.950,
Newari Shahi Pulao Basmati Rice 1 Kg,3.9/5,(7),36 Sold,Rs.215,
Goodluck 3 Star Premium Basmati Rice 20Kg,3.5/5,(2),,"Rs.2,700",
India Gate Basmati Rice - 5kg,4.1/5,(7),47 Sold,"Rs.1,040",
Ripuraj Sonashakti Finest Jeera Rice - 20kg,5/5,(1),,"Rs.2,399",
Ripuraj Mahashakti Rice-26 Kg,,,,"Rs.3,199",
Ganga Shree Bpt Katarni Silky Sortex Rice -25 Kg,,,,"Rs.2,499",
Lal Qilla 507 Gold Indian Basmati Rice Poly Bag 1 kg,5/5,(1),,Rs.235,Rs. 300
Ripuraj jeera Masina Rice 25kg,,,,"Rs.2,400",
Fortune Everyday Full Grain Basmati Rice 20 Kg,,,,"Rs.3,600",
Local Jeera Masino Rice 1 Kg,5/5,(7),49 Sold,Rs.150,
Taichin Chamal 5kg,4.7/5,(6),46 Sold,Rs.925,
Newari Shahi Pulao Basmati Rice - 5kg,4.8/5,(15),45 Sold,"Rs.1,045",
Anadi Rice 1Kg,4.1/5,(9),79 Sold,Rs.270,
New Devishree Bhog Premium Mota Rice 25kg,,,,"Rs.1,930",
Brown Rice 1kg,5/5,(1),,Rs.140,
BS Local Organic Black Rice 1Kg,4/5,(6),60 Sold,Rs.450,
Fortune Gujarat Special Jeerasar Rice-26 Kg,,,,"Rs.2,599",
5Kg Kitchen Nano Bucket Insect-Proof Moisture-Proof Rice Cylinder Food Storage Sealed Grain Household Box,,,,"Rs.3,804","Rs. 7,553"
"2 Pack Stainless Steel Rice Washing Bowls,with Stable Adhesive Hook",,,,"Rs.3,454","Rs. 6,734"
Rotating Food Dispenser Rice Bucket Rice Storage Tank Container,,,,"Rs.7,878","Rs. 15,362"
Stainless Steel Drain Basket Rice Strainers Mesh Filter Silver,,,,"Rs.2,682","Rs. 5,326"
"Microporous Colander Capacity with Mixing Bowl for Washing Vegetables, Fruit and Rice and for Draining Cooked Pasta",,,,"Rs.2,192","Rs. 4,275"
Gyan Premium Basmati Rice 1Kg,,,,Rs.160,
Gyan Premium Basmati Rice 2Kg,,,,Rs.320,
Maharani Brown Basmati Rice 1kg,5/5,(1),,Rs.250,
"Maharani Parboiled Basmati Rice, 5 Kg",,,,"Rs.1,750",
Sara Foods Brown Basmati Rice - 5kg,,,,Rs.900,
Sara Foods Brown Basmati Rice - 1kg,,,,Rs.180,
Sara Foods Marsi Rice - 1kg,,,,Rs.270,
