year,country,ccode,ele_rural,ele_total,ele_urban,en_int,ren_ele,ren_con,tot_ele,tfec
1990,Namibia,NAM,9.023287239,25.2347908,67.641716,,0,0,0,0
1990,Nauru,NRU,,100,96.27315521,,0,0,29,1468.4
1990,Nepal,NPL,,0.01,75.22305298,10.79127995,877,229285.7,878,241049.609
1990,Netherlands,NLD,100,100,100,5.693791074,806,21961.12,71968,1827639.521
1990,Netherlands Antilles,ANT,,,,,,,790,
1990,New Caledonia,NCL,,,,,461,1643.684,1147,16181.192
1990,New Zealand,NZL,100,100,100,6.658071919,25814,114401.5,32265,380949.8563
1990,Nicaragua,NIC,41.26564344,66.82804108,90.10756683,6.754105532,894,41730.11,1457,60684.27469
1990,Niger,NER,,2.290002346,24.21349907,6.579218087,0,0,0,0
1990,Nigeria,NGA,8.6,27.3,82.4,9.597221143,4387,2166562,13463,2468285.946
1990,Niue,NIU,,,,,0,0.33076,2.6,57.77076
1990,Northern America,GNA,,,,,,,,
1990,Northern Mariana Islands,MNP,,,,,0,0,,0
1990,Norway,NOR,100,100,100,4.803080186,121358,386337.2,121611,652886.1588
1990,Not classified,LNX,,,,,,,,
1990,Nothern America,NAR,,,,,,,,
1990,Oceania,GCN,,,,,,,,
1990,Oceania (not including Australia and New Zealand),GOC,,,,,,,,
1990,Oman,OMN,,,,2.782276564,0,0,4501,76170.91295
1990,Pakistan,PAK,45.13692267,59.93660355,93.53985596,5.46012941,16925,818879.8,37673,1424125.576
1990,Palau,PLW,93.08031266,97.47045135,99.38873291,,0,0,0,0
1990,Panama,PAN,43.49,70.19,95.56,3.283896806,2269,22418.5,2661,51431.02801
1990,Papua New Guinea,PNG,,5.114663601,57.57668304,13.18881297,460,57279.27,1390,79886.9482
1990,Paraguay,PRY,65.60010322,80.42372894,96.04250336,5.057747413,27178,95868.56,27185,122115.5164
1990,Peru,PER,,60.22378922,89.73246765,3.545274997,10605,139992.8,13808,355078.9074
1990,Philippines,PHL,40.1491516,62.11444855,85.35453796,4.838516619,11959,414293,26327,813191.1946
1990,Poland,POL,100,100,100,11.17156929,1472,59932.79,134415,2395888.596
1990,Portugal,PRT,100,100,100,3.470078787,9839,127314.6,28342,472507.2593
1990,Puerto Rico,PRI,,,,0.011275365,280,901.0871,16028,51580.8
1990,Qatar,QAT,100,100,100,8.027151038,0,0,4818,94356.06941
1990,Reunion,REU,,,,,549,7150.896,905,19060.6796
1990,Romania,ROU,100,100,100,10.04712767,11411,59291.64,64309,1766858.656
1990,Russian Federation,RUS,100,100,100,12.02680225,165982,918632.8,1082152,24484213.01
1990,Rwanda,RWA,,0.01,13.89927959,5.727151955,167,27900.6,171,34837.621
1990,Saint Pierre et Miquelon,SPM,,,,,0,0,43,451.2
1990,Samoa,WSM,72.48634941,77.84141541,97.7457962,4.343978645,20,1062.625,50,2299.8247
