product,rating,rating_no,sales,price
"Redmi A3 (4GB/128GB) | 6.71"" HD+ 90Hz Display | Android 14 (Go Edition) | 5000mAh Battery",5/5,(3),,"Rs.12,999"
POCO M3 Pro 5G / 90Hz FHD+/ Mediatek Dimensity 700/ 48 MP Main Camera,4.6/5,(17),65 Sold,"Rs.23,999"
"Samsung Galaxy A53 5G (8GB+128GB) II 6.5"" Super AMOLED Display With 25W Power Adapter, Mobile Cover & Type-C Earphone",4.5/5,(23),66 Sold,"Rs.55,000"
"Redmi 9 Activ (4/64 GB) |  6.53"" HD+ IPS Display | Helio G35 | 5000 mAh Battery",4.6/5,(16),107 Sold,"Rs.15,999"
Apple iPhone 14 - EvoStore,4.7/5,(9),45 Sold,"Rs.114,000"
Tecno Spark GO 2024 || 4/64GB || 5000 mAh Battery,4.7/5,(6),36 Sold,"Rs.11,830"
Apple iPhone 15 - EvoStore,4.6/5,(11),33 Sold,"Rs.135,200"
"Samsung Galaxy A55 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+12MP +5MP Rear Camera | 5000mAh Battery",4.5/5,(2),,"Rs.61,999"
Vivo Y17s (4/128 GB) l 5000mah Battery with 18W fast charger l 50MP+2MP & Front Camera 8MP l Andriod 13,4.5/5,(4),,"Rs.14,899"
"Redmi 13C (6GB/128GB) | 6.74"" HD+ 90Hz Display | Mediatek Helio G85 | 5000mAh Battery",4.2/5,(5),,"Rs.15,999"
ringme R1+ coreless mobile 4 sim support,5/5,(1),,"Rs.4,200"
"Oppo A18 (4GB/128GB) | 6.56"" HD+ 90Hz Display | Mediatek Helio G85 | 5000mAh Battery",5/5,(1),,"Rs.14,499"
"OnePlus N20 SE Mobile Phone (4 GB RAM, 64 GB Storage ;6.56 inch Display ;33W Super VOOC Charger) )",4.5/5,(15),63 Sold,"Rs.23,499"
"Redmi 13C (8GB/256GB) | 6.74"" HD+ 90Hz Display | 50MP+2MP Rear Main Camera | 5000mAh Battery",5/5,(1),,"Rs.18,999"
